location,latitude,longitude,confirmed,dead,recovered,updated
Extremadura,39.4937392,-6.0679194,3081,380,736,2020-04-19 01:22:11.499954+00:00
Reading,51.4542645,-0.9781303,262,None,None,2020-04-18 15:02:36+00:00
"Caswell County, North Carolina",36.3860217,-79.2902133,7,0,None,2020-04-19 01:40:27.495960+00:00
"Andrews County, Texas",32.342627,-102.7135121,19,0,None,2020-04-19 01:40:27.495960+00:00
Encanto,-6.1416101,-38.29549,2,1,None,2020-04-19 01:22:18.995513+00:00
"Angelina County, Texas",31.2704698,-94.645035,23,0,None,2020-04-19 01:40:27.495960+00:00
"Comal County, Texas",29.8105572,-98.2212979,43,6,None,2020-04-19 01:40:27.495960+00:00
Staphorst,52.6426977,6.2006265,8,None,None,2020-04-19 01:41:40.786193+00:00
Utrecht,52.0907374,5.1214201,199,None,None,2020-04-19 01:41:41.044009+00:00
Rucphen,51.5335666,4.5603199,7,None,None,2020-04-19 01:41:40.585662+00:00
West Betuwe,51.8423309,5.2214444,38,None,None,2020-04-19 01:41:41.363076+00:00
Westland,51.9991757,4.217457,47,None,None,2020-04-19 01:41:41.427753+00:00
Weststellingwerf,52.8718917,6.0229188,2,None,None,2020-04-19 01:41:41.438457+00:00
West Berkshire,51.4308255,-1.1444927,189,None,None,2020-04-18 15:02:36+00:00
Capão da Canoa,-29.7644664,-50.0208361,6,0,None,2020-04-19 01:22:17.660185+00:00
Guyuan,36.015855,106.24261,5,0,5,2020-04-19 01:22:33.698233+00:00
Ningdong,24.859243,108.058052,1,0,1,2020-04-19 01:22:33.698233+00:00
"Fannin County, Georgia",34.8580405,-84.2278796,15,0,None,2020-04-19 01:40:27.495960+00:00
Shizuishan,38.983236,106.383303,1,0,1,2020-04-19 01:22:33.698233+00:00
Bhadohi,25.3804531,82.5676981,1,0,0,2020-04-13 19:42:52.515110+00:00
Itapissuma,-7.7493145,-34.917581,2,0,None,2020-04-19 01:22:22.532593+00:00
"Howell County, Missouri",36.8527979,-91.9099238,5,0,None,2020-04-19 01:40:27.495960+00:00
Xining,36.617134,101.778223,15,0,15,2020-04-19 01:22:33.698233+00:00
Bouches-du-Rhône,43.5911679,5.3102505,2978,247,1600,2020-04-19 01:41:44.226060+00:00
"Poweshiek County, Iowa",41.6530119,-92.539603,8,1,0,2020-04-18 01:41:02.433592+00:00
"Wells County, Indiana",40.7778348,-85.1894045,5,0,None,2020-04-19 01:40:27.495960+00:00
Colombo,-25.2919692,-49.2269425,8,0,None,2020-04-19 01:22:18.392718+00:00
"Jackson County, Kentucky",37.4023274,-84.0167423,43,2,None,2020-04-19 01:40:27.495960+00:00
"Montmorency County, Michigan",45.0742794,-84.1403141,4,0,0,2020-04-18 01:41:02.433592+00:00
"Henry County, Missouri",38.3386592,-93.8248241,6,1,None,2020-04-19 01:40:27.495960+00:00
"Lac Qui Parle County, Minnesota",45.0562676,-96.2006981,1,0,None,2020-04-19 01:40:27.495960+00:00
"Howard County, Missouri",39.2064126,-92.6983868,2,0,None,2020-04-19 01:40:27.495960+00:00
"Pike County, Missouri",39.3964742,-91.2891036,6,0,None,2020-04-19 01:40:27.495960+00:00
"Saunders County, Nebraska",41.168563,-96.663812,6,0,None,2020-04-19 01:40:27.495960+00:00
"Hamilton County, New York",43.4764406,-74.4056612,3,0,None,2020-04-19 01:40:27.495960+00:00
"Cheatham County, Tennessee",36.184749,-87.1023746,21,0,None,2020-04-19 01:40:27.495960+00:00
Valkenswaard,51.3554957,5.4533268,15,None,None,2020-04-19 01:41:41.089248+00:00
Calvados,49.1213315,-0.4330578,320,49,132,2020-04-19 01:41:44.231494+00:00
"Guadalupe County, Texas",29.6477307,-97.87216,53,0,None,2020-04-19 01:40:27.495960+00:00
"Cooper County, Missouri",38.8693247,-92.8577105,4,0,None,2020-04-19 01:40:27.495960+00:00
Haute-Loire,45.0821226,3.9266366,107,6,62,2020-04-19 01:41:44.216102+00:00
Galicia,42.5750554,-8.1338558,8084,334,0,2020-04-19 01:22:11.511132+00:00
Community of Madrid,40.4167515,-3.7038322,52946,7132,30475,2020-04-19 01:22:11.522158+00:00
Haute-Garonne,43.4010462,1.135302,579,34,349,2020-04-19 01:41:44.203402+00:00
Melilla,35.2922775,-2.9380973,104,2,30,2020-04-19 01:22:11.533444+00:00
Imbituba,-28.227627,-48.6691286,13,0,None,2020-04-19 01:22:21.862105+00:00
Braço do Norte,-28.2793737,-49.1575402,27,1,None,2020-04-19 01:22:16.688428+00:00
Chapada dos Guimarães,-15.4639898,-55.749869,0,0,None,2020-04-19 01:22:18.195932+00:00
Itaguaru,-15.7620044,-49.6327876,1,0,None,2020-04-19 01:22:22.218152+00:00
Lozère,44.494203,3.5812692,17,0,12,2020-04-19 01:41:44.210724+00:00
"Catoosa County, Georgia",34.8981727,-85.1479364,19,0,None,2020-04-19 01:40:27.495960+00:00
Huaian,33.551052,119.113185,66,0,66,2020-04-19 01:22:33.698233+00:00
Wuxi,31.491169,120.31191,55,0,55,2020-04-19 01:22:33.698233+00:00
"Echols County, Georgia",30.7503289,-82.9501558,4,0,None,2020-04-19 01:40:27.495960+00:00
"Gentry County, Missouri",40.1406981,-94.479976,1,0,None,2020-04-19 01:40:27.495960+00:00
"Belmont County, Ohio",40.0325848,-80.8986502,68,3,0,2020-04-18 01:41:02.433592+00:00
Imbé,-29.9759482,-50.1275069,1,0,None,2020-04-19 01:22:21.873292+00:00
"Cass County, Iowa",41.2538068,-94.976654,1,0,None,2020-04-19 01:40:27.495960+00:00
"Clinton County, Michigan",42.9663458,-84.5222189,103,6,None,2020-04-19 01:40:27.495960+00:00
Changzhou,31.811226,119.974061,51,0,51,2020-04-19 01:22:33.698233+00:00
"Wayne County, Mississippi",31.7130601,-88.7108964,10,0,None,2020-04-19 01:40:27.495960+00:00
Corumbá,-19.0081688,-57.6515503,1,0,None,2020-04-19 01:22:18.578606+00:00
São Pedro de Alcântara,-27.5670164,-48.8052483,1,0,None,2020-04-19 01:22:29.181525+00:00
Indaiatuba,-23.0881603,-47.2079235,9,0,None,2020-04-19 01:22:21.906462+00:00
São Vicente,-23.9607157,-46.3962022,40,0,None,2020-04-19 01:22:29.306431+00:00
Dourados,-22.2272034,-54.8291259,11,0,None,2020-04-19 01:22:18.896546+00:00
Ilhéus,-14.7935051,-39.0463797,60,2,None,2020-04-19 01:22:21.850451+00:00
Toledo,-24.7254277,-53.7420329,1,0,None,2020-04-19 01:22:29.774704+00:00
Nantong,31.980171,120.894291,40,0,40,2020-04-19 01:22:33.698233+00:00
"Oswego County, New York",43.482533,-76.1783739,45,2,None,2020-04-19 01:40:27.495960+00:00
Zhongwei,37.499972,105.196902,4,0,4,2020-04-19 01:22:33.698233+00:00
"Madison Parish, Louisiana",32.4401578,-91.2891036,4,0,None,2020-04-19 01:40:27.495960+00:00
Isère,44.9957745,5.9293476,603,65,291,2020-04-19 01:41:44.208134+00:00
Loiret,47.900771,2.2018172,610,53,307,2020-04-19 01:41:44.208612+00:00
